batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
43,0.2010235605655,0.0090989475121,2,257,0.011437107482893127,0.009138142224401236
811,0.7360326119571,0.00010291166,5,85,0.2393857316854195,0.0006545811891555786
646,0.758261818521,0.0001352437735,5,65,0.14118392786446898,0.0011928707361221313
661,0.1509062254399,0.0001391862017,5,78,0.05136411525589466,0.0019695311784744263
773,0.3708169142748,0.0001815211482,4,67,0.10147542083025951,0.0015293091535568237
443,0.9539807088558,0.0003001217261,4,635,0.01143732382025826,0.007713988423347473
242,0.8984138328138,0.0003330794585,4,445,0.012476392185029005,0.005772856716066599
314,0.7503553217203,0.0737580667724,3,66,0.01850701257569105,0.005032737646251917
881,0.6916882588351,0.0001066328647,5,160,0.037432205278199036,0.0026888370513916014
503,0.7853531822882,0.0054048834833,3,479,0.012061457118689178,0.007038106396794319
