batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
591,0.9997697342144,0.0055276967725,4,76,0.4506123429120308,5.0382812817891444e-05
421,0.0205566646752,0.0037959269651,2,227,0.012061024443958868,0.1648458704352379
670,0.3025415608265,0.0001863615185,1,149,0.03452008800604012,0.07196280260880789
730,0.9770952291832,0.0001315068271,5,80,0.3495654864021149,0.0023626943429311117
911,0.8177786153751,0.0001997776562,5,68,0.22462481692450473,0.006282300750414529
723,0.189238450346,0.0222590698951,1,487,0.02557908104214033,0.11779208183288574
815,0.633104391417,0.0002021821082,3,109,0.039510125670375394,0.029537791013717653
495,0.0432864865547,0.0104105387612,3,139,0.015387860445092483,0.1348353813091914
725,0.9415682156735,0.0002134877356,1,96,0.1492959300451496,0.007691439986228943
908,0.872621073453,0.0001082678966,1,116,0.09899381491473062,0.010448261102040609
