batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
335,0.0713637891236,0.0001242626529,4,323,0.01185290789869351,0.16267949342727664
234,0.7351760668291,0.0001090372112,5,494,0.0170519274577547,0.09492198328177134
56,0.7825174377512,0.0002522199601,5,84,0.0189225966541263,0.05342593789100647
32,0.8974507823059,0.0001097192107,1,73,0.34331485091110486,0.005052668849627176
915,0.2951589262888,0.0066119680367,4,325,0.013308209353994993,0.13206640183925628
34,0.893585663553,0.0001019200644,2,67,0.1790349622815804,0.0089872012535731
34,0.896676898778,0.0001007140188,2,67,0.26490553628951136,0.006483052174250284
80,0.9007912606461,0.0001351871433,1,66,0.10189554799336278,0.01448219120502472
166,0.8857217689818,0.0001580641802,1,77,0.051156431385359566,0.028001488248507185
