batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
787,0.1703219026718,0.0001147694325,1,1015,0.011021090729727545,0.0509357213973999
1005,0.9955079513912,0.0001113871772,3,70,0.19364768594737378,0.000266343355178833
36,0.9428954725223,0.0003008410357,1,1011,0.015180609249287703,0.04237005412578583
835,0.9472970018127,0.0008472053142,1,146,0.019755928184648264,0.031498050689697264
472,0.9878375293574,0.000112481889,5,73,0.12433319415629507,0.0006281614303588867
606,0.934724554968,0.0001313943451,3,125,0.0241233469121086,0.02502513527870178
649,0.9468433240879,0.0001612858391,5,146,0.028279404033826495,0.016744595766067506
770,0.918255695035,0.0001158012308,3,153,0.028902022970701415,0.01017293930053711
772,0.9439671097978,0.0001326347735,5,139,0.04221412639726896,0.0008232921361923217
