batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.24080952628856825,0.0
582,0.0387496336331,0.0003356147463,1,83,0.14938113283921667,0.07003765374422073
725,0.5275737085407,0.0962149393336,3,78,0.20994343292247483,0.001636388301849365
342,0.8669726222366,0.0001742864143,1,64,0.18009284304194484,0.0020071864128112797
319,0.1782069394934,0.0001883410533,1,66,0.1507324936217152,0.04613451659679413
387,0.3106987838902,0.0001859182902,1,65,0.15208379310175718,0.027296425700187688
976,0.3603359633198,0.0163222644592,1,278,0.1557999008597811,0.017965873479843138
917,0.2528729324812,0.0002112474838,2,84,0.15205308057104464,0.039644615054130555
409,0.8789303687944,0.0002331604889,5,69,0.16553555146369517,0.003312087655067444
498,0.6579712863223,0.00944846031,4,146,0.15644484985802348,0.007061979174613953
