batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
37,0.2843433688736,0.0773289437512,5,387,0.4506123429120308,0.0
758,0.1773664279903,0.0002236086227,1,408,0.011229207274992903,0.1727930374488686
36,0.9348556914159,0.0191554995032,4,156,0.19842939072907856,0.051413791116439934
32,0.9416350745541,0.0193168315521,5,201,0.12433968427724933,0.07000922717831351
668,0.8399381613995,0.0419247548844,5,188,0.3905518982522104,0.017241808474063876
33,0.9530180958931,0.0003883580469,5,64,0.07112047611527321,0.09176063985309817
68,0.9380489536585,0.0218822767638,5,146,0.28046754831354204,0.03933108834606229
43,0.9518470254615,0.003418783913,5,82,0.02266415138423463,0.1068603956609061
749,0.4507086697188,0.0058590587496,5,271,0.01372465878189082,0.13910299763083459
54,0.9243844663412,0.0410760571747,5,108,0.3230853602341635,0.02928750814813556
