batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
101,0.2797881134384,0.0003340660712,4,505,0.012477906546585005,0.16221940169731774
115,0.9500511775682,0.0001083569648,5,70,0.3861632784629663,0.0057894905408223465
169,0.9518274068689,0.0001245897971,5,894,0.20084458107350925,0.011056863268216451
159,0.9331751584616,0.0001008230671,1,910,0.024745100499522964,0.07389147082964578
73,0.9393357351132,0.0001062962864,5,64,0.15865468446113606,0.014345893263816833
90,0.80285407825,0.0079014107354,4,97,0.022252245041006737,0.1116143529613813
93,0.9369178046208,0.0001081941417,5,64,0.026617284057450542,0.032448466618855795
502,0.6125376623876,0.0078695296269,5,492,0.018715778133051808,0.12971713840961457
178,0.9518447040295,0.000124673715,5,892,0.03784605865771316,0.0168533593416214
