batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
47,0.5182538469109,0.0089358135385,2,103,0.14824490595448678,0.0642063221335411
58,0.7390799893981,0.0886799955763,2,94,0.2498680016644089,0.015923641920089722
38,0.6046924405509,0.0705605284383,3,74,0.22474687272591468,0.035856239795684815
51,0.2853731288485,0.0150933643819,5,302,0.18730829778733968,0.040452257096767426
565,0.3125792668112,0.0428114646491,4,65,0.1591167881587043,0.05611039072275161
41,0.3588119411049,0.0194142362086,3,177,0.1666705334370005,0.051190823912620545
97,0.043774452953,0.0329189063269,5,91,0.17751354689977444,0.04722177624702454
130,0.5279324707843,0.0138796755616,3,67,0.1513467206580979,0.059877015054225935
85,0.4744191316373,0.0427057286624,4,66,0.17551717581657705,0.049327380061149596
96,0.6820598906435,0.0137231840115,2,133,0.14987252861504358,0.0620538255572319
