batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
869,0.4699320804041,0.0077495181304,3,1019,0.4506123429120308,0.0
293,0.0063886251789,0.001098864883,4,860,0.011230072624453458,0.019385412583748495
821,0.287748218805,0.0152683361273,4,423,0.36662065892034673,0.002765945593516032
808,0.6037118908388,0.0069129822454,4,738,0.18441029679323123,0.013515136390924453
816,0.6011856026918,0.0068485939251,4,700,0.10728018501171468,0.01453014040986697
814,0.1571726137055,0.0070851570734,4,699,0.21404462174493394,0.010571021089951196
767,0.5972411458222,0.0069129822454,5,716,0.2707786630783509,0.009226602564255396
808,0.6470082073403,0.0067989295852,4,689,0.2803420726417604,0.005691805978616078
957,0.1712539048652,0.0059211647672,3,959,0.35809675039643823,0.005340044697125753
636,0.8944946436433,0.0312943963519,3,74,0.01663591070458914,0.01818486973643303
