batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.24080952628856825,0.0
897,0.0149376667672,0.0103302577541,5,301,0.14944252960720025,0.07553651362657546
411,0.6286954341617,0.0313142741224,3,206,0.1709411596387644,0.04196411490440369
383,0.6359637060344,0.0180009139704,2,182,0.1538958324137965,0.05051510274410248
44,0.5592319689755,0.0454015091363,2,87,0.20423170857302592,0.02353329658508301
435,0.6182493089424,0.0313142741224,3,206,0.22351837149741344,0.01129552662372589
351,0.3537748696464,0.0001075140429,1,552,0.1514080749859193,0.0661911991238594
164,0.6454490164846,0.0965705894325,3,73,0.21872723085297938,0.02055816411972046
725,0.5275737085407,0.0962149393336,3,78,0.23531282737869566,0.0027838551998138434
128,0.6194478657719,0.0115202319063,4,451,0.18878531917454072,0.03241567879915237
