batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
59,0.0030815114132,0.0057836649805,4,153,0.14842912455187904,0.08176569268107414
330,0.9821690174032,0.0229054208914,4,64,0.24080952628856825,0.0001483023166656494
57,0.0463424973171,0.0195673926561,4,200,0.16820749919552316,0.03950058221817017
577,0.4342900910398,0.0481822694665,3,73,0.22662033709937904,0.037775354087352754
39,0.0434074217682,0.0050831004951,3,206,0.15285151205809888,0.04598434343934059
69,0.005704017356,0.0027189688569,1,229,0.1493196417597615,0.05977101698517799
895,0.7897473442105,0.011623077444,1,411,0.23915104963009154,0.018300040066242217
45,0.025892842149,0.0064701372435,2,138,0.15193028703507744,0.0562090165913105
693,0.5463370696629,0.080973575191,1,84,0.23279371610209934,0.028732512146234512
90,0.80285407825,0.0079014107354,4,97,0.23841431670772986,0.024667230248451234
