batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
982,0.8921713518645,0.0839862301879,4,90,0.24080952628856825,0.0
542,0.001122354388,0.005238036954,1,390,0.1487976513425615,0.09275013566017151
206,0.6506836018436,0.0001100587702,3,88,0.15755034063417295,0.0774492210149765
479,0.644781823859,0.0064227229369,3,843,0.17818888776972608,0.056906415224075316
572,0.4695989565895,0.0062981699107,4,755,0.18865964913869107,0.043257040977478026
597,0.4384995026098,0.0062957704128,3,1002,0.22201634342352908,0.018356382846832275
211,0.4562484880957,0.008289287636,2,841,0.16965126164227962,0.06891753911972046
562,0.7762582659767,0.0057972860808,4,1002,0.23045940343844537,0.006488414406776428
556,0.7385168713674,0.0062981699107,4,795,0.2004551848863226,0.03551154732704163
267,0.3979069005905,0.0066961513047,4,813,0.20622985271188865,0.02427780032157898
