batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
43,0.184974939355,0.0037260385344,1,627,0.01168857365846634,0.0149733580534829
43,0.3857572463037,0.0036602109617,1,630,0.012664496712386609,0.01642930852087976
44,0.1614980323772,0.0037878768293,4,619,0.011570358276367187,0.027863170943295778
526,0.1558490208903,0.0010597119829,3,71,0.01190178357064724,0.014764808833487297
118,0.7021557681862,0.0001184479616,1,607,0.008336895890533925,0.013308425691360148
900,0.4300912433377,0.0152683361273,5,574,0.0,0.5119656196659318
87,0.0367394414112,0.0023638377127,5,629,0.011406390368938446,0.01954910966357377
87,0.0521438579694,0.0023484439918,4,627,0.011094204895198346,0.016638939427701137
85,0.0056681397243,0.0023522420037,1,633,0.01055972594767809,0.013101607170285634
86,0.1234254243989,0.0023594703709,3,630,0.012384389340877534,0.013309291040820681
921,0.0402320288874,0.0695202977577,2,410,0.0,0.5079928002924882
217,0.6966025769503,0.0609459009151,5,409,0.0,0.4506123429120308
92,0.0596894090201,0.0026601048305,3,629,0.0075468247756361965,0.01538829311982277
435,0.6182493089424,0.0313142741224,3,206,0.008944632485508919,0.20695329925298706
193,0.4888227212062,0.0678987026873,5,198,0.0,0.5075769998766877
617,0.5184711075448,0.0100085550147,5,985,0.0,0.49011338241307023
625,0.1052670796752,0.0060317134485,3,964,0.0028910964727401735,0.36703645933614715
962,0.1658029844256,0.0009078367561,5,387,0.008762212935835123,0.014556692288221939
716,0.2865351795075,0.0066342832805,4,939,0.0023070059716701506,0.3874106797103675
632,0.2859097380484,0.0213235547463,3,145,0.010994523391127586,0.01663655971668454
623,0.2289406777331,0.0113619352892,2,949,0.0,0.4506123429120308
597,0.3030880458603,0.0093977598843,4,943,0.0,0.4880343803340681
560,0.178304926949,0.002699287848,3,417,0.011104025319218636,0.014349008417686871
36,0.1928642223996,0.0027500625542,1,243,0.009141805022954941,0.01351805659818146
32,0.1826270148373,0.0027304768583,2,253,0.013422752451151609,0.014556692288221939
917,0.2528729324812,0.0002112474838,2,84,0.010385818406939506,0.014764376158756986
473,0.1698670108937,0.002726162012,3,233,0.012148131988942623,0.01538829311982277
869,0.3577941791914,0.0001144897283,1,85,0.012349027954041959,0.026410898211106315
340,0.9088801054716,0.0027595158141,1,640,0.010388679616153241,0.013517191248720884
603,0.7481965207707,0.050363997522,2,431,0.0,0.4724645801648924
92,0.0990572665448,0.0026601048305,5,629,0.012762124091386795,0.12412161621318749
105,0.0578079655633,0.0026612448559,4,640,0.010257760528475046,0.016220326626153893
959,0.0099039525899,0.0001330037572,5,856,0.011118621751666068,0.013516758573990617
116,0.1039706290069,0.0026605521421,3,640,0.011653910670429469,0.014140459197691224
295,0.3356472132588,0.0026488280338,5,637,0.00882022427394986,0.01580430987298833
566,0.3278740464762,0.0026575587581,5,479,0.00855252705514431,0.01351740758608606
32,0.1688856144268,0.002657972036,1,69,0.012931538186967373,0.013725740468716507
501,0.4344636044526,0.0343406853747,4,551,0.0,0.5219448296451419
36,0.0775980842909,0.0026601048305,3,629,0.008192394860088825,0.018507228913056183
84,0.1703421670439,0.0001219611937,3,649,0.008548188535496593,0.012893274287655122
84,0.16960403706,0.00052649599,3,632,0.00959937833249569,0.013308858366090392
85,0.1691338535152,0.000515378102,3,633,0.010299426596611738,0.012477473871854694
355,0.9137569290511,0.034912055568,1,196,0.00997902462258935,0.016844459924584766
85,0.169013022377,0.000485072253,4,633,0.010667674429714679,0.013725307793986263
86,0.0602276633658,0.0005664859932,3,657,0.007957384828478098,0.013932558989791021
103,0.2833626254686,0.0005003261748,1,490,0.010075334506109358,0.014141108209786668
730,0.1397261771171,0.0059996636813,3,946,0.0022416245192289352,0.3657007924437685
441,0.1020683828299,0.0037946946911,5,771,0.011607315018773079,0.014972276366657211
647,0.1604503418718,0.006022860943,1,950,0.0092143839225173,0.01372530779398624
105,0.5175676044407,0.0804624104669,2,720,0.0,0.5194500271503393
659,0.1652240101515,0.0058939317182,4,939,0.0,0.4506123429120308
684,0.1396810699244,0.0052776816671,4,983,0.0058557003736495975,0.19418247191400156
625,0.0187993065427,0.0055100558665,3,964,0.005108190141618252,0.2711944634941513
628,0.7839051901199,0.0055247210689,4,940,0.003633291833102703,0.29251840490133935
726,0.1286389806545,0.006046307665,3,708,0.009549674019217491,0.01767541174409022
804,0.1627142884326,0.0060229393646,3,722,0.009015095327049494,0.014349008417686871
735,0.166565603853,0.005994116815,3,704,0.009212019946426153,0.016636127041954295
730,0.1411461937537,0.0059996636813,3,731,0.012583704758435487,0.01518104192401799
750,0.1340516693879,0.0061002816731,3,695,0.009469423629343509,0.015181258261383102
740,0.127944981829,0.0060318369337,2,689,0.0086448285728693,0.013517840260816306
732,0.296529746929,0.0060457618377,2,1023,0.007979877293109894,0.014349224755052004
820,0.3768353000803,0.0060438153302,2,701,0.009424866968765854,0.014764592496122142
36,0.0609219934735,0.0026601048305,2,271,0.012723620049655437,0.015181258261383102
36,0.0599155994216,0.0026601048305,2,273,0.009632518887519837,0.014349008417686892
36,0.0610311589473,0.0025702992859,2,276,0.012955313920974732,0.014556475950856785
36,0.0617634630344,0.0024806355776,2,277,0.010966168902814388,0.015181041924017969
37,0.0627633073369,0.0026428107916,1,258,0.009354008035734296,0.014557341300317383
130,0.0596723941959,0.001001477946,3,890,0.00950574055314064,0.013101390832920456
92,0.0653074510362,0.0001037328385,3,887,0.010236892476677894,0.013308858366090415
93,0.0598095350833,0.0001102453514,3,890,0.00910832011140883,0.013516542236625484
717,0.8490389481598,0.0051703975351,3,961,0.01195972915738821,0.014765457845582697
726,0.9780530481415,0.0035962616479,4,955,0.011750148050487042,0.01642865950878436
774,0.8179815089533,0.0032853407805,4,988,0.0115850780159235,0.015388509457187904
748,0.9588318873,0.0008172256386,5,975,0.009953794907778502,0.013933424339251599
796,0.9907540154297,0.0006764935443,4,987,0.01010117270052433,0.01414024286032609
757,0.987788357281,0.000104310883,5,932,0.007536138594150543,0.01580301184879749
725,0.5275737085407,0.0962149393336,3,78,0.004691225290298462,0.4115271038267917
905,0.9199804825179,0.0001273550375,4,961,0.009578485507518053,0.013309074703455548
74,0.6588288578602,0.0054551489072,4,991,0.0,0.5394084471087592
318,0.3847272124764,0.0054218095961,5,1006,0.0025167901068925856,0.41362882132913353
90,0.0750472478701,0.0053350241604,5,998,0.0043232360854744915,0.31019251862123876
509,0.7535265186823,0.0054376467676,4,988,0.004514977894723415,0.2794213408157217
313,0.4943773457039,0.0025848473367,3,885,0.010444149048998952,0.013517191248720906
79,0.5404936775903,0.0054257691128,5,994,0.008609828539192677,0.20071629301598085
102,0.5044983225925,0.0054388624901,4,1009,0.00333101823925972,0.41820262590293805
143,0.1384973888868,0.0053546210188,4,983,0.009944814443588256,0.2131061502549536
422,0.997704917522,0.0599495297038,2,165,0.004436567425727844,0.3855395778392657
233,0.5643644590506,0.0610850140189,5,164,0.007257080078125,0.3874106797103675
240,0.9177529620546,0.0590517122703,5,174,0.0,0.5198658275661396
54,0.7816155809583,0.0553774233769,2,271,0.0,0.48013417243386025
53,0.6173613868518,0.0474851365737,2,272,0.0,0.48244379014410227
220,0.8901487646112,0.0606100323357,1,272,0.015688778832554817,0.03867809216404432
234,0.6249511738092,0.057876659447,1,276,0.007296016439795494,0.14429118143998476
389,0.8574355669552,0.0433124847249,2,261,0.0,0.4780551703548582
92,0.0596894090201,0.0026601048305,2,395,0.008196650724858045,0.015179527562461992
384,0.0163267884738,0.0557882315487,1,236,0.017303996533155442,0.03181522192968602
793,0.2500518198771,0.0072989042556,4,564,0.016647293418645858,0.02120993161575886
345,0.3222820827767,0.0560257111119,1,206,0.008657852932810784,0.020169132552067003
354,0.5261919071982,0.0581388752251,1,223,0.012979933433234692,0.026408085825359494
