batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.15547313392162326,0.01705214379511988
979,0.3596079321578,0.0535361448362,4,65,0.0968151311079661,0.12661858208164137
652,0.7642785040662,0.0014379647071,3,136,0.14177483518918355,0.0338931423218624
94,0.005704017356,0.0050831004951,3,339,0.13145708094040554,0.018715994470416962
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5493876570879693
941,0.7790415394316,0.0515082536375,4,65,0.10495234380165734,0.025162847951609633
934,0.8868343293082,0.0453898943671,5,68,0.0904279202222824,0.20147390646870358
955,0.7994945949498,0.0511451394017,3,67,0.07788087626298268,0.039923979049889535
966,0.7888715968454,0.0694201308567,3,64,0.10538416802883148,0.03306110881553128
940,0.7719477597368,0.0785641891201,5,67,0.09651576876640319,0.1378451933082526
979,0.3091665844829,0.0640906148808,5,66,0.10156006713708243,0.1337942761459931
935,0.5004226067909,0.0494649648706,5,69,0.1262525295217832,0.016844459924584786
938,0.3138001142667,0.0551109306597,4,70,0.11957785735527673,0.01829954504252107
955,0.8516210945702,0.0504818677496,1,67,0.1325567732254664,0.04928727655054397
941,0.8526083151495,0.0486468282562,2,67,0.1208917866150538,0.04845524304421287
940,0.8218593877916,0.0491644528674,4,67,0.11459436664978664,0.04678555126005699
769,0.84328069131,0.050575822421,2,67,0.095529971520106,0.051981758433371314
58,0.8145850086176,0.0484814753351,2,67,0.1067899336417516,0.037223656058203394
390,0.8383307127335,0.0491882541986,4,67,0.09137672583262127,0.1719471011874758
277,0.0788153739624,0.0011246047718,1,788,0.16258265525102616,0.013725091456621107
895,0.7897473442105,0.011623077444,1,411,0.1370975116888682,0.023707330158943062
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4506123429120308
955,0.7942216843043,0.0511451394017,1,66,0.12063616812229157,0.034518573644484116
955,0.8014051648884,0.0813912021537,3,66,0.10176218301057816,0.08587187203212177
465,0.8525713812706,0.0510718560979,3,64,0.12257786591847737,0.0259918527348288
962,0.8084140063594,0.0644491126548,2,115,0.11373677750428517,0.03327441745755999
944,0.7892223744079,0.0886106071424,3,545,0.0,0.5298450375453497
480,0.8783356020164,0.0548473469711,2,66,0.08913641522328057,0.04180265272877135
310,0.9894791475225,0.0539856498856,3,66,0.0009353071451187134,0.5194500271503393
497,0.4323787825414,0.0004186695981,1,866,0.1612181474765142,0.014556908625587095
