batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
241,0.9708397453651,0.0329667406801,4,407,0.24080952628856825,0.0
758,0.3033029706697,0.0210884640841,2,139,0.14892046374082302,0.07104563385248183
1012,0.5749492520071,0.059648378657,5,86,0.17484183494662536,0.04368631780147553
729,0.5367511700055,0.0971447195064,3,77,0.20503212531655643,0.026185056269168856
985,0.608286706016,0.0619360065781,5,76,0.16402936425391518,0.052088249325752255
977,0.5701510030916,0.060031179974,4,75,0.1520223444624642,0.05681988328695296
225,0.6201423545764,0.0907894847993,1,246,0.22502328550232745,0.009100922942161558
729,0.5378167744914,0.0968371247901,3,77,0.2149188628979048,0.01726159632205963
1012,0.5746749578373,0.0598332826595,5,89,0.18657119705023897,0.03557248175144195
916,0.7041375379061,0.0592132906871,3,65,0.19105797099809074,0.03109779685735703
