batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
959,0.0099039525899,0.0001330037572,5,856,0.01164608937761904,0.02622704853614171
616,0.2847208685618,0.0486677691833,3,210,0.4506123429120308,0.0
316,0.152120267172,0.004678033545,5,694,0.12245798187525554,0.016324154287576678
571,0.2982248105127,0.0059454012859,3,895,0.36662065892034673,0.003765841076771418
315,0.2582670446094,0.0070114642612,4,896,0.27942350418937306,0.007097570598125458
321,0.5104772919611,0.0047573329412,5,939,0.18470797700766484,0.012806253383557
315,0.2275823093321,0.0067189768355,4,896,0.22017151226308354,0.01054378797610601
87,0.3938972653096,0.0012529413132,3,492,0.014348792080321759,0.017012369384368262
579,0.4291891644657,0.0062545209097,3,881,0.35975995205963984,0.006861747304598491
248,0.3787003068528,0.0001105681031,1,384,0.01226935732658938,0.018944331010182697
